@RELATION netgen24-5-2
@ATTRIBUTE INST-Cost_Matrix_AVG NUMERIC
@ATTRIBUTE INST-Cost_Matrix_RSD NUMERIC
@ATTRIBUTE INST-Cost_Matrix_SKEW NUMERIC
@ATTRIBUTE NORM-Euclid_Distance_AB NUMERIC
@ATTRIBUTE NORM-Euclid_Distance_AB_to_AVG NUMERIC
@ATTRIBUTE INST-Radius NUMERIC
@ATTRIBUTE NORM-Distance_A_Centroid NUMERIC
@ATTRIBUTE NORM-Distance_B_Centroid NUMERIC
@ATTRIBUTE NORM-Distance_A_Centroid_to_AVG NUMERIC
@ATTRIBUTE NORM-Distance_B_Centroid_to_AVG NUMERIC
@ATTRIBUTE FEAT-Level_PointA NUMERIC
@ATTRIBUTE FEAT-Level_PointB NUMERIC
@ATTRIBUTE INST-Cluster_Distance_AVG NUMERIC
@ATTRIBUTE INST-Cluster_Distance_RSD NUMERIC
@ATTRIBUTE INST-Cluster_Distance_SKEW NUMERIC
@ATTRIBUTE INST-SD_NNDistance NUMERIC
@ATTRIBUTE INST-RSD_NNDistance NUMERIC
@ATTRIBUTE NORM-Dist_NN_PointA NUMERIC
@ATTRIBUTE NORM-Dist_NN_PointA_to_AVG NUMERIC
@ATTRIBUTE NORM-Dist_NN_PointB NUMERIC
@ATTRIBUTE NORM-Dist_NN_PointB_to_AVG NUMERIC
@ATTRIBUTE FEAT-Neighbourhood NUMERIC
@ATTRIBUTE INST-MST_Length NUMERIC
@ATTRIBUTE INST-MST_Length_AVG NUMERIC
@ATTRIBUTE INST-MST_Length_RSD NUMERIC
@ATTRIBUTE INST-MST_Length_SKEW NUMERIC
@ATTRIBUTE FEAT-Shortest_Path_AB_Weight NUMERIC
@ATTRIBUTE FEAT-Shortest_Path_AB_Weight_to_AVG NUMERIC
@ATTRIBUTE INST-MST_Degree_AVG NUMERIC
@ATTRIBUTE INST-MST_Degree_RSD NUMERIC
@ATTRIBUTE INST-MST_Degree_SKEW NUMERIC
@ATTRIBUTE FEAT-MST_Degree_A NUMERIC
@ATTRIBUTE FEAT-MST_Degree_B NUMERIC
@ATTRIBUTE FEAT-A_B_Near_In_MST NUMERIC
@ATTRIBUTE FEAT-AB_Crosses NUMERIC
@ATTRIBUTE FEAT-AB_Crosses_PCT NUMERIC
@ATTRIBUTE FEAT-FromA_Intersection NUMERIC
@ATTRIBUTE FEAT-FromA_Intersection_PCT NUMERIC
@ATTRIBUTE FEAT-FromB_Intersection NUMERIC
@ATTRIBUTE FEAT-FromB_Intersection_PCT NUMERIC
@ATTRIBUTE INST-D1Fraction NUMERIC
@ATTRIBUTE INST-D2Fraction NUMERIC
@ATTRIBUTE INST-D3Fraction NUMERIC
@ATTRIBUTE INST-D4Fraction NUMERIC
@ATTRIBUTE GOOD {0, 1}
@DATA
55.331462991,0.574977436,-2.778908415,10.158216703183781,0.18358843511576906,58.760200,32.199503709472566,25.483516706549814,0.5819384120515666,0.4605610502417921,4,1,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,0.29121295811190695,0.005263062683870739,5,0.192690060,0.201067889,1.426076159,0.444919491,12,0.009036450022681093,1.916666667,0.298071939,-161.107883110,2,2,0,25,4.528985507246377,1041,188.58695652173913,1153,208.8768115942029,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,9.880910102396681,0.17857670063782466,58.760200,32.199503709472566,25.56419463068687,0.5819384120515666,0.46201913430058844,4,2,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,0.29121295811190695,0.005263062683870739,5,0.192690060,0.201067889,1.426076159,0.444919491,12,0.009036450022681093,1.916666667,0.298071939,-161.107883110,2,1,0,24,4.3478260869565215,1041,188.58695652173913,1156,209.42028985507247,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,3.474891472574429,0.06280136625231907,58.760200,32.199503709472566,31.211928941137607,0.5819384120515666,0.5640900719761271,4,3,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,2.187864150669378,0.0395410501078789,1,0.192690060,0.201067889,1.426076159,0.444919491,3,0.002259112505670273,1.916666667,0.298071939,-161.107883110,2,3,1,12,2.1739130434782608,1041,188.58695652173913,1165,211.05072463768116,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,6.592384251713342,0.11914350164183501,58.760200,32.199503709472566,32.272183678077326,0.5819384120515666,0.5832519498594605,4,1,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,2.717239855905312,0.049108404315051056,3,0.192690060,0.201067889,1.426076159,0.444919491,6,0.004518225011340546,1.916666667,0.298071939,-161.107883110,2,2,0,22,3.9855072463768115,1041,188.58695652173913,1058,191.66666666666666,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,3.0168640583463264,0.05452348257693887,58.760200,32.199503709472566,33.78557523410606,0.5819384120515666,0.610603324181063,4,5,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,3.0168640583463264,0.05452348257693887,2,0.192690060,0.201067889,1.426076159,0.444919491,3,0.002259112505670273,1.916666667,0.298071939,-161.107883110,2,3,1,8,1.4492753623188406,1041,188.58695652173913,1011,183.15217391304347,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,5.731094227734914,0.10357749312840529,58.760200,32.199503709472566,37.759664476716786,0.5819384120515666,0.6824266418341157,4,3,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,4.199223609195298,0.07589214855711165,3,0.192690060,0.201067889,1.426076159,0.444919491,7,0.005271262513230637,1.916666667,0.298071939,-161.107883110,2,1,0,28,5.072463768115942,1041,188.58695652173913,1194,216.30434782608697,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,4.3152798380876956,0.07798962118152564,58.760200,32.199503709472566,33.27475611376845,0.5819384120515666,0.6013713412779415,4,2,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,2.187864150669378,0.0395410501078789,2,0.192690060,0.201067889,1.426076159,0.444919491,5,0.003765187509450455,1.916666667,0.298071939,-161.107883110,2,1,0,22,3.9855072463768115,1041,188.58695652173913,1120,202.8985507246377,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,95.41741221920124,1.7244693536247444,58.760200,32.199503709472566,105.24697642213575,0.5819384120515666,1.90211808495385,4,1,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,7.5054309345850525,0.13564490307812493,12,0.192690060,0.201067889,1.426076159,0.444919491,149,0.11220258778162356,1.916666667,0.298071939,-161.107883110,2,2,0,86,15.579710144927537,1041,188.58695652173913,1298,235.14492753623188,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,89.99569434003271,1.6264831883203785,58.760200,32.199503709472566,96.47582076972321,0.5819384120515666,1.7435978655654847,4,1,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,5.50604379074106,0.09951017907545029,10,0.192690060,0.201067889,1.426076159,0.444919491,137,0.10316613775894247,1.916666667,0.298071939,-161.107883110,2,2,0,77,13.94927536231884,1041,188.58695652173913,1328,240.57971014492753,0.425347,0.475694,0.480903,0.480903,?
55.331462991,0.574977436,-2.778908415,90.70650318118301,1.6393295654578477,58.760200,32.199503709472566,98.94318894156181,0.5819384120515666,1.7881903639102317,4,2,0.696842304,0.569134140,-1.668589497,0.090400,0.107202,3.0168640583463264,0.05452348257693887,5.50604379074106,0.09951017907545029,10,0.192690060,0.201067889,1.426076159,0.444919491,142,0.10693132526839293,1.916666667,0.298071939,-161.107883110,2,2,0,77,13.94927536231884,1041,188.58695652173913,1284,232.6086956521739,0.425347,0.475694,0.480903,0.480903,?
